DLMF;Mathematica;DLMF-Mathematica-Comment;Mathematica-Alternatives
X1:\assLegendreQX\assLegendreQ[\mu]{\nu}@{z};LegendreQ[$1, $0, 3, $2];;
\assLegendreOlverQ{\nu}@{z};;;Exp[-($0) Pi I] LegendreQ[$0, 2, 3, $1]/Gamma[$0 + 3]
X1:\assLegendreOlverQX\assLegendreOlverQ[\mu]{\nu}@{z};;;Exp[-($0) Pi I] LegendreQ[$1, $0, 3, $2]/Gamma[$1 + $0 + 1]
\DunsterQ{-\frac{1}{2}+i\tau}@{x};;;
X1:\DunsterQX\DunsterQ[-\mu]{-\frac{1}{2}+i\tau}@{x};;;
;;;
\incellintFk@{\phi}{k};EllipticF[$0, ($1)^2];;
\incellintEk@{\phi}{k};EllipticE[$0, ($1)^2];;
\incellintPik@{\phi}{\alpha^2}{k};EllipticPi[$1, $0,($2)^2];;
\incellintDk@{\phi}{k};;;Divide[EllipticF[$0, ($1)^2] - EllipticE[$0, ($1)^2], ($1)^4]
\compellintKk@{k};EllipticK[($0)^2];;
\compellintEk@{k};EllipticE[($0)^2];;
\compellintPik@{\alpha^2}{k};EllipticPi[$0, ($1)^2];;
\compellintDk@{k};;;Divide[EllipticK[($0)^2] - EllipticE[($0)^2], ($0)^4]
\ccompellintKk@{k};EllipticK[1-($0)^2];;
\ccompellintEk@{k};EllipticE[1-($0)^2];;
\incellintPik@{\pi/2}{\nu}{\sqrt{1-k^2}};;;
;;;
\LerchPhi@{z}{s}{a};LerchPhi[$0, $1, $2];;
;;;
\Lommels{\mu}{\nu}@{z};;;
\LommelS{\mu}{\nu}@{z};;;
;;;
;;;
;;;
;;;
;;;
\Mathieueigvala{n}@@{q};MathieuCharacteristicA[$0, $1];;
\Mathieueigvalb{n}@@{q};MathieuCharacteristicB[$0, $1];;
\Mathieueigvallambda{m}@@{q};;;
;;;
\Mathieuce{n}@@{z}{q};MathieuC[$0, $2, $1];;
\Mathieuse{n}@@{z}{q};MathieuS[$0, $2, $1];;
\Mathieume{n}@@{z}{q};;;Sqrt[2]*MathieuC[$0, $2, $1]
;;;
;;;
\modMathieuCe{\nu}@@{z}{q};;;
\modMathieuSe{\nu}@@{z}{q};;;
\modMathieuMe{\nu}@@{z}{q};;;
\modMathieuFe{n}@@{z}{q};;;
