Mathematica;DLMF;Number of Variables;Mathematica-DLMF-Comment;Mathematica-Constriants;Mathematica-Branch Cuts;Mathematica-Alternatives;DLMF-Alternatives;Mathematica-Link
;\RiemannsymP@{\begin{Bmatrix} \alpha & \beta &\gamma & \\ a_1 & b_1 & c_1 & z \\ a_2 & b_2 & c_2 & \end{Bmatrix}};;;;;;;
;;;;;;;;
;\idem@{\chi_1}{\chi_1,...,\chi_n};;;;;;;
;;;;;;;;
;\Jacobiphi{\alpha}{\beta}{\lambda}@{t};;;;;;;
;\genJacobiellk{p}{q};;;;;;;
;\Jacobiamk@{z}{k};;;;;;;
;;;;;;;;
JacobiSN[$0, ($1)^2];\Jacobiellsnk@@{z}{k};2;;;;;;https://reference.wolfram.com/language/ref/JacobiSN.html
JacobiCN[$0, ($1)^2];\Jacobiellcnk@@{z}{k};2;;;;;;https://reference.wolfram.com/language/ref/JacobiCN.html
JacobiDN[$0, ($1)^2];\Jacobielldnk@@{z}{k};2;;;;;;https://reference.wolfram.com/language/ref/JacobiDN.html
JacobiSD[$0, ($1)^2];\Jacobiellsdk@@{z}{k};2;;;;;;https://reference.wolfram.com/language/ref/JacobiSD.html
JacobiCD[$0, ($1)^2];\Jacobiellcdk@@{z}{k};2;;;;;;https://reference.wolfram.com/language/ref/JacobiCD.html
JacobiSC[$0, ($1)^2];\Jacobiellsck@@{z}{k};2;;;;;;https://reference.wolfram.com/language/ref/JacobiSC.html
JacobiNS[$0, ($1)^2];\Jacobiellnsk@@{z}{k};2;;;;;;https://reference.wolfram.com/language/ref/JacobiNS.html
JacobiNC[$0, ($1)^2];\Jacobiellnck@@{z}{k};2;;;;;;https://reference.wolfram.com/language/ref/JacobiNC.html
JacobiND[$0, ($1)^2];\Jacobiellndk@@{z}{k};2;;;;;;https://reference.wolfram.com/language/ref/JacobiND.html
JacobiDS[$0, ($1)^2];\Jacobielldsk@@{z}{k};2;;;;;;https://reference.wolfram.com/language/ref/JacobiDS.html
JacobiDC[$0, ($1)^2];\Jacobielldck@@{z}{k};2;;;;;;https://reference.wolfram.com/language/ref/JacobiDC.html
JacobiCS[$0, ($1)^2];\Jacobiellcsk@@{z}{k};2;;;;;;https://reference.wolfram.com/language/ref/JacobiCS.html
InverseJacobiSN[$0, $1];\aJacobiellsnk@@{z}{k};;;;;;;
InverseJacobiCN[$0, $1];\aJacobiellcnk@@{z}{k};;;;;;;
InverseJacobidN[$0, $1];\aJacobielldnk@@{z}{k};;;;;;;
InverseJacobiSD[$0, $1];\aJacobiellsdk@@{z}{k};;;;;;;
InverseJacobiCD[$0, $1];\aJacobiellcdk@@{z}{k};;;;;;;
InverseJacobiSC[$0, $1];\aJacobiellsck@@{z}{k};;;;;;;
InverseJacobiNS[$0, $1];\aJacobiellnsk@@{z}{k};;;;;;;
InverseJacobiNC[$0, $1];\aJacobiellnck@@{z}{k};;;;;;;
InverseJacobiND[$0, $1];\aJacobiellndk@@{z}{k};;;;;;;
InverseJacobiDS[$0, $1];\aJacobielldsk@@{z}{k};;;;;;;
InverseJacobiDC[$0, $1];\aJacobielldck@@{z}{k};;;;;;;
InverseJacobiCS[$0, $1];\aJacobiellcsk@@{z}{k};;;;;;;
;\JacobiEpsilonk@{x}{k};;;;;;;
;\Jacobithetaq{1}@{z}{q};;;;;;;
;\Jacobithetaq{2}@{z}{q};;;;;;;
;\Jacobithetaq{3}@{z}{q};;;;;;;
;\Jacobithetaq{4}@{z}{q};;;;;;;
;\Jacobithetaq{j}@{z}{q};;;;;;;
;\Jacobithetatau{j}@{z}{\tau};;;;;;;
;\Jacobithetacombinedq{n}{m}@{z}{q};;;;;;;
JacobiZeta[$0, $1];\AThetaFunction@{x};;;;;;;
JacobiZeta[$0, $1];\JacobiZetak@{x}{k};;;;;;;
;\Jacobisym{n}{P};;;;;;;
;;;;;;;;
KelvinBer[$0, $1];\Kelvinber{\nu}@@{x};;;;;;;
Mathematica: KelvinBei[$0, $1];\Kelvinbei{\nu}@@{x};;;;;;;
KelvinKer[$0, $1];\Kelvinker{\nu}@@{x};;;;;;;
KelvinKei[$0, $1];\Kelvinkei{\nu}@@{x};;;;;;;
;\frac{1}{2}\HankelH{1}{\nu}@{x\left(-\frac{1}{2}\sqrt{2}+\frac{1}{2}\iunit\sqrt{2}\right)} + \frac{1}{2}\HankelH{2}{\nu}@{x\left(-\frac{1}{2}\sqrt{2}-\frac{1}{2}\iunit\sqrt{2}\right)};;;;;;;
;\frac{1}{2}\iunit\left(\HankelH{2}{\nu}@{x\left(-\frac{1}{2}\sqrt{2}-\frac{1}{2}\iunit\sqrt{2}\right)} - \HankelH{1}{\nu}@{x\left(-\frac{1}{2}\sqrt{2}+\frac{1}{2}\iunit\sqrt{2}\right)}\right);;;;;;;
;;;;;;;;
;\LameEc{m}{\nu}@{z}{k^2};;;;;;;
;\LameEs{m}{\nu}@{z}{k^2};;;;;;;
;\Lameeigvala{n}{\nu}@{k^2};;;;;;;
;\Lameeigvalb{n}{\nu}@{k^2};;;;;;;
;;;;;;;;
LegendreP[$1, $0, 1, $3];\FerrersP[\mu]{\nu}@{z};4;;;;;;https://reference.wolfram.com/language/ref/LegendreP.html
LegendreQ[$1, $0, 1, $3];\FerrersQ[\mu]{\nu}@{z};4;;;;;;https://reference.wolfram.com/language/ref/LegendreQ.html
